./Source\1.jpg 1 25 38 115 89
./Source\10.jpg 1 45 26 96 80
./Source\11.jpg 0
./Source\12.png 1 69 36 80 67
./Source\13.jpg 1 98 87 39 44
./Source\14.png 1 34 48 112 88
./Source\15.png 0
./Source\16.jpg 1 29 88 72 70
./Source\17.jpg 0
./Source\18.jpg 0
./Source\18.png 0
./Source\19.jpg 1 37 78 70 69
./Source\19.png 1 59 55 78 65
./Source\2.png 0
./Source\20.png 0
./Source\21.jpg 0
./Source\22.png 0
./Source\24.png 0
./Source\26.png 0
./Source\27.png 0
./Source\28.jpg 0
./Source\28.png 0
./Source\29.jpg 0
./Source\3.png 0
./Source\30.png 0
./Source\31.jpg 0
./Source\32.jpg 0
./Source\32.png 0
./Source\33.jpg 0
./Source\34.jpg 1 27 46 98 82
./Source\35.png 1 43 3 112 94
./Source\36.jpg 0
./Source\37.jpg 0
./Source\4.png 0
./Source\40.jpg 0
./Source\5.png 0
./Source\6.png 0
./Source\7.png 0
./Source\8.png 0
./Source\9.jpg 0
./Source\ad (1).jpg 0
./Source\ad (10).jpg 0
./Source\ad (11).jpg 0
./Source\ad (12).jpg 0
./Source\ad (13).jpg 0
./Source\ad (14).jpg 0
./Source\ad (15).jpg 0
./Source\ad (16).jpg 0
./Source\ad (17).jpg 0
./Source\ad (18).jpg 0
./Source\ad (19).jpg 0
./Source\ad (2).jpg 0
./Source\ad (20).jpg 0
./Source\ad (21).jpg 0
./Source\ad (22).jpg 0
./Source\ad (23).jpg 0
./Source\ad (24).jpg 0
./Source\ad (25).jpg 0
./Source\ad (26).jpg 0
./Source\ad (27).jpg 0
./Source\ad (28).jpg 0
./Source\ad (29).jpg 0
./Source\ad (3).jpg 0
./Source\ad (30).jpg 0
./Source\ad (4).jpg 0
./Source\ad (5).jpg 0
./Source\ad (6).jpg 0
./Source\ad (7).jpg 0
./Source\ad (8).jpg 0
./Source\ad (9).jpg 0
